formula,group,  P [GPa],  lambda,  w_log [K],   mu,     Tc [K], reference
    YH3 ,   11,      200,   0.534,    569.413, 0.10,    9      , https://doi.org/10.1088/1361-648X/aa787d
    YH3 ,  194,      200,   0.232,    658.749, 0.10,    0      , https://doi.org/10.1088/1361-648X/aa787d
    YH3 ,  139,      200,   0.270,    579.837, 0.10,    0      , https://doi.org/10.1088/1361-648X/aa787d
    YH4 ,  139,      120,   0.980,   1388.606, 0.10,   94      , https://doi.org/10.1088/1361-648X/aa787d
    YH4 ,  139,      200,   0.764,   1289.016, 0.10,   55      , https://doi.org/10.1088/1361-648X/aa787d
   LaH4 ,  139,      300,    0.43,       1624, 0.10,   10      , https://doi.org/10.1073/pnas.1704505114
   LaH4 ,  139,      300,    0.43,       1624, 0.13,    5      , https://doi.org/10.1073/pnas.1704505114
   LaH8 ,   12,      300,    1.12,       1591, 0.10,  131      , https://doi.org/10.1073/pnas.1704505114
   LaH8 ,   12,      300,    1.12,       1591, 0.13,  114      , https://doi.org/10.1073/pnas.1704505114
   LaH10,  225,      210,    3.41,        848, 0.10,  238      , https://doi.org/10.1073/pnas.1704505114
   LaH10,  225,      210,    3.41,        848, 0.13,  219      , https://doi.org/10.1073/pnas.1704505114
   LaH10,  225,      250,    2.29,       1253, 0.10,  232      , https://doi.org/10.1073/pnas.1704505114
   LaH10,  225,      250,    2.29,       1253, 0.13,  212      , https://doi.org/10.1073/pnas.1704505114
   LaH10,  225,      300,    1.78,       1488, 0.10,  215      , https://doi.org/10.1073/pnas.1704505114
   LaH10,  225,      300,    1.78,       1488, 0.13,  196      , https://doi.org/10.1073/pnas.1704505114
    YH10,  229,      250,    2.58,       1282, 0.10,  265      , https://doi.org/10.1073/pnas.1704505114
    YH10,  229,      250,    2.58,       1282, 0.13,  244      , https://doi.org/10.1073/pnas.1704505114
    YH10,  229,      300,    2.06,       1511, 0.10,  255      , https://doi.org/10.1073/pnas.1704505114
    YH10,  229,      300,    2.06,       1511, 0.13,  233      , https://doi.org/10.1073/pnas.1704505114
    VH  ,  166,      200,   0.396,        567, 0.10,     2.24  , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH  ,  166,      200,   0.396,        567, 0.13,     0.96  , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH2 ,   62,      200,   0.503,        493, 0.10,     6.12  , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH2 ,   62,      200,   0.503,        493, 0.13,     3.71  , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH3 ,  225,      200,   0.475,        466, 0.10,     4.59  , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH3 ,  225,      200,   0.475,        466, 0.13,     2.62  , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH5 ,  194,      200,   0.530,       1210, 0.10,    18.5   , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH5 ,  194,      200,   0.530,       1210, 0.13,    11.8   , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH5 ,   63,      300,   0.663,        936, 0.10,    25.1   , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH5 ,   63,      300,   0.663,        936, 0.13,    18.3   , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH8 ,   12,      300,   1.135,        876, 0.10,    71.4   , https://doi.org/10.1021/acs.inorgchem.7b01686
    VH8 ,   12,      300,   1.135,        876, 0.13,    62.8   , https://doi.org/10.1021/acs.inorgchem.7b01686
   ScH3 ,     ,       18,        ,           , 0.10,    19.3   , https://doi.org/10.1088/0953-2048/27/11/115012
   LaH3 ,     ,       11,        ,           , 0.10,    22.5   , https://doi.org/10.1088/0953-2048/27/11/115012
   CrH  ,  194,        0,        ,      338.3, 0.10,    10.60  , https://doi.org/10.1038/srep17764
   CrH  ,  194,       60,        ,      414.9, 0.10,     4.156 , https://doi.org/10.1038/srep17764
   CrH  ,  194,      120,        ,      529.8, 0.10,     3.290 , https://doi.org/10.1038/srep17764
   CrH  ,  194,      200,        ,      557.4, 0.10,     3.100 , https://doi.org/10.1038/srep17764
   CrH3 ,  194,       81,        ,      568.1, 0.10,    37.10  , https://doi.org/10.1038/srep17764
   CrH3 ,  194,      120,        ,      629.8, 0.10,    29.49  , https://doi.org/10.1038/srep17764
   CrH3 ,  194,      160,        ,      670.2, 0.10,    28.09  , https://doi.org/10.1038/srep17764
   CrH3 ,  194,      200,        ,      808.5, 0.10,    27.11  , https://doi.org/10.1038/srep17764
   ThH3 ,  166,      100,  0.11  ,       1664, 0.10,      0    , https://doi.org/10.1021/acsami.8b17100
   ThH3 ,  166,      100,  0.11  ,       1664, 0.15,      0    , https://doi.org/10.1021/acsami.8b17100
  Th3H10,   71,       10,  0.48  ,        379, 0.10,    3.9    , https://doi.org/10.1021/acsami.8b17100
  Th3H10,   71,       10,  0.48  ,        379, 0.15,    1.2    , https://doi.org/10.1021/acsami.8b17100
   ThH4 ,  139,       85,  0.36  ,       1003, 0.10,    3.0    , https://doi.org/10.1021/acsami.8b17100
   ThH4 ,  139,       85,  0.36  ,       1003, 0.15,    0.5    , https://doi.org/10.1021/acsami.8b17100
   ThH7 ,   14,      100,  0.84  ,       1192, 0.10,   64.8    , https://doi.org/10.1021/acsami.8b17100
   ThH7 ,   14,      100,  0.84  ,       1192, 0.15,   45.3    , https://doi.org/10.1021/acsami.8b17100
   ThH10,  225,      100,  2.50  ,       1073, 0.10,  221.1    , https://doi.org/10.1021/acsami.8b17100
   ThH10,  225,      100,  2.50  ,       1073, 0.15,  193.9    , https://doi.org/10.1021/acsami.8b17100
   ThH10,  225,      200,  1.35  ,       1627, 0.10,  182.6    , https://doi.org/10.1021/acsami.8b17100
   ThH10,  225,      200,  1.35  ,       1627, 0.15,  150.5    , https://doi.org/10.1021/acsami.8b17100
   ThH10,  225,      300,  1.11  ,       1775, 0.10,  155.4    , https://doi.org/10.1021/acsami.8b17100
   ThH10,  225,      300,  1.11  ,       1775, 0.15,  121.4    , https://doi.org/10.1021/acsami.8b17100
    UH10,  225,      100,  1.05  ,     679.27, 0.10,   50.58   , https://doi.org/10.1016/j.physleta.2018.11.048
    UH10,  225,      100,  1.05  ,     679.27, 0.15,   39.42   , https://doi.org/10.1016/j.physleta.2018.11.048
    UH10,  225,      200,  0.66  ,     720.50, 0.10,   21.22   , https://doi.org/10.1016/j.physleta.2018.11.048
    UH10,  225,      200,  0.66  ,     720.50, 0.15,   12.51   , https://doi.org/10.1016/j.physleta.2018.11.048
    UH10,  225,      300,  0.54  ,     716.58, 0.10,   11.93   , https://doi.org/10.1016/j.physleta.2018.11.048
    UH10,  225,      300,  0.54  ,     716.58, 0.15,    5.57   , https://doi.org/10.1016/j.physleta.2018.11.048
    UH10,  225,      400,  0.50  ,     764.61, 0.10,    9.50   , https://doi.org/10.1016/j.physleta.2018.11.048
    UH10,  225,      400,  0.50  ,     764.61, 0.15,    3.85   , https://doi.org/10.1016/j.physleta.2018.11.048
    UH10,  225,      500,  0.53  ,     969.50, 0.10,   15.11   , https://doi.org/10.1016/j.physleta.2018.11.048
    UH10,  225,      500,  0.53  ,     969.50, 0.15,    6.84   , https://doi.org/10.1016/j.physleta.2018.11.048
   CaH4 ,   63,      200,  0.46  ,     1398.0, 0.10,   11.6    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH4 ,   63,      200,  0.46  ,     1398.0, 0.13,    6.3    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH4 ,   63,      300,  0.64  ,     1441.1, 0.10,   39.6    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH4 ,   63,      300,  0.64  ,     1441.1, 0.13,   29.0    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH4 ,   63,      400,  0.64  ,     1587.5, 0.10,   44.1    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH4 ,   63,      400,  0.64  ,     1587.5, 0.13,   32.3    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH9 ,   12,      300,  2.93  ,     1060.3, 0.10,  266.4    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH9 ,   12,      300,  2.93  ,     1060.3, 0.13,  239.3    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH9 ,   12,      350,  2.29  ,     1355.5, 0.10,  274.7    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH9 ,   12,      350,  2.29  ,     1355.5, 0.13,  256.6    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH9 ,   12,      400,  2.27  ,     1404.1, 0.10,  285.2    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH9 ,   12,      400,  2.27  ,     1404.1, 0.13,  260.6    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH10,  166,      400,  1.67  ,     1166.4, 0.10,  175.3    , https://doi.org/10.1021/acs.inorgchem.8b03165
   CaH10,  166,      400,  1.67  ,     1166.4, 0.13,  156.9    , https://doi.org/10.1021/acs.inorgchem.8b03165
    BH2 ,   15,      250,  0.600 ,    1627.87, 0.10,   37.31   , https://doi.org/10.1039/C9CP00310J
    BH2 ,   15,      250,  0.600 ,    1627.87, 0.13,   28.18   , https://doi.org/10.1039/C9CP00310J
    BH2 ,   15,      300,  0.582 ,    1641.62, 0.10,   34.24   , https://doi.org/10.1039/C9CP00310J
    BH2 ,   15,      300,  0.582 ,    1641.62, 0.13,   23.62   , https://doi.org/10.1039/C9CP00310J
    BH2 ,   15,      350,  0.580 ,    1614.59, 0.10,   33.31   , https://doi.org/10.1039/C9CP00310J
    BH2 ,   15,      350,  0.580 ,    1614.59, 0.13,   22.92   , https://doi.org/10.1039/C9CP00310J
    BH2 ,   15,      400,  0.546 ,    1668.52, 0.10,   28.03   , https://doi.org/10.1039/C9CP00310J
    BH2 ,   15,      400,  0.546 ,    1668.52, 0.13,   18.38   , https://doi.org/10.1039/C9CP00310J
    BH  ,  191,      250,  0.377 ,    1530.52, 0.10,    4.522  , https://doi.org/10.1039/C9CP00310J
    BH  ,  191,      250,  0.377 ,    1530.52, 0.13,    1.726  , https://doi.org/10.1039/C9CP00310J
   CaH6 ,  229,      150,        ,           , 0.10,  220      , https://doi.org/10.1073/pnas.1118168109
   CaH6 ,  229,      150,        ,           , 0.13,  235      , https://doi.org/10.1073/pnas.1118168109
   CaH6 ,  229,      200,        ,           , 0.13,  201      , https://doi.org/10.1073/pnas.1118168109
   CaH6 ,  229,      250,        ,           , 0.13,  187      , https://doi.org/10.1073/pnas.1118168109
   PbH8 ,   12,      230,        ,           , 0.1 ,  107      , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      140,        ,           , 0.1 ,   76.49   , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      180,        ,           , 0.1 ,   97.14   , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      200,        ,           , 0.1 ,  103.2    , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      250,        ,           , 0.1 ,  106.2    , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      300,        ,           , 0.1 ,  105.1    , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      350,        ,           , 0.1 ,  104.0    , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      140,        ,           , 0.15,   63.11   , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      180,        ,           , 0.15,   81.16   , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      200,        ,           , 0.15,   85.10   , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      250,        ,           , 0.15,   89.15   , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      300,        ,           , 0.15,   88.11   , https://doi.org/10.1038/srep16475
   PbH8 ,   12,      350,        ,           , 0.15,   86.24   , https://doi.org/10.1038/srep16475
   AlH3 ,     ,      110,  0.74  ,           , 0.14,   24      , https://doi.org/10.1103/PhysRevLett.100.045504
   AlH3 ,     ,      165,        ,           , 0.14,    6      , https://doi.org/10.1103/PhysRevLett.100.045504
   LaH10,     ,      200,        ,           , 0.1 ,  288      , https://doi.org/10.1103/PhysRevLett.119.107001
   LaH4 ,     ,      300,  0.43  ,       1624, 0.1 ,   10      , https://doi.org/10.1073/pnas.1704505114
   LaH8 ,     ,      300,  1.12  ,       1591, 0.1 ,  131      , https://doi.org/10.1073/pnas.1704505114
   LaH10,     ,      210,  3.41  ,        848, 0.1 ,  238      , https://doi.org/10.1073/pnas.1704505114
   LaH10,     ,      250,  2.29  ,       1253, 0.1 ,  232      , https://doi.org/10.1073/pnas.1704505114
   LaH10,     ,      300,  1.78  ,       1488, 0.1 ,  215      , https://doi.org/10.1073/pnas.1704505114
    YH10,     ,      250,  2.58  ,       1282, 0.1 ,  265      , https://doi.org/10.1073/pnas.1704505114
    YH10,     ,      300,  2.06  ,       1511, 0.1 ,  255      , https://doi.org/10.1073/pnas.1704505114
   LaH4 ,     ,      300,  0.43  ,       1624, 0.13,    5      , https://doi.org/10.1073/pnas.1704505114
   LaH8 ,     ,      300,  1.12  ,       1591, 0.13,  114      , https://doi.org/10.1073/pnas.1704505114
   LaH10,     ,      210,  3.41  ,        848, 0.13,  219      , https://doi.org/10.1073/pnas.1704505114
   LaH10,     ,      250,  2.29  ,       1253, 0.13,  212      , https://doi.org/10.1073/pnas.1704505114
   LaH10,     ,      300,  1.78  ,       1488, 0.13,  196      , https://doi.org/10.1073/pnas.1704505114
    YH10,     ,      250,  2.58  ,       1282, 0.13,  244      , https://doi.org/10.1073/pnas.1704505114
    YH10,     ,      300,  2.06  ,       1511, 0.13,  233      , https://doi.org/10.1073/pnas.1704505114
   PtH  ,  194,       90,  0.7815,      266.3, 0.13,   11.96   , https://doi.org/10.1103/PhysRevB.83.214106 
   PtH  ,  194,       95,  0.6424,      326.4, 0.13,    9.154  , https://doi.org/10.1103/PhysRevB.83.214106 
   PtH  ,  194,      100,  0.5771,      362.4, 0.13,    7.383  , https://doi.org/10.1103/PhysRevB.83.214106 
   PtH  ,  194,      120,  0.4700,      425.8, 0.13,    3.775  , https://doi.org/10.1103/PhysRevB.83.214106 
   PtH  ,  194,      140,  0.3874,      461.8, 0.13,    1.670  , https://doi.org/10.1103/PhysRevB.83.214106 
   PtH  ,  194,      160,  0.3468,      471.9, 0.13,    0.8352 , https://doi.org/10.1103/PhysRevB.83.214106 
   SiH4 ,   60,      220,  0.58  ,           , 0.13,   16.5    , https://doi.org/10.1103/PhysRevLett.102.087005
   GeH4 ,   15,      220,  1.12  ,      897  , 0.13,   64      , https://doi.org/10.1103/PhysRevLett.101.107002
   SnH4 ,  191,       70,  1.30  ,      660  , 0.13,   58      , https://doi.org/10.1103/PhysRevLett.98.117004
   SnH4 ,  191,      120,  1.20  ,      921  , 0.13,   73      , https://doi.org/10.1103/PhysRevLett.98.117004
   SnH4 ,  191,      160,  1.29  ,      848  , 0.13,   74      , https://doi.org/10.1103/PhysRevLett.98.117004
   SnH4 ,  191,      120,  1.20  ,      921  , 0.10,   83      , https://doi.org/10.1103/PhysRevLett.98.117004
   SnH4 ,  191,      120,  1.20  ,      921  , 0.12,   77      , https://doi.org/10.1103/PhysRevLett.98.117004
    YH4 ,  139,      120,  1.01  ,     1119  , 0.10,   95      , https://doi.org/10.1038/srep09948
    YH4 ,  139,      120,  1.01  ,     1119  , 0.13,   84      , https://doi.org/10.1038/srep09948
    YH6 ,  229,      120,  2.93  ,           , 0.10,  264      , https://doi.org/10.1038/srep09948
    YH6 ,  229,      120,  2.93  ,           , 0.13,  251      , https://doi.org/10.1038/srep09948
   MgH6 ,  229,      300,  3.29 ,      1450  , 0.12,  263      , https://doi.org/10.1039/C5RA11459D
   MgH6 ,  229,      350,  2.72 ,      1597  , 0.12,  265      , https://doi.org/10.1039/C5RA11459D
   MgH6 ,  229,      400,  2.52 ,      1700  , 0.12,  271      , https://doi.org/10.1039/C5RA11459D
    IH2 ,   62,      100,  0.472,       552.6, 0.10,    5.30   , https://doi.org/10.1039/C5CP05218A
    IH2 ,   62,      150,  0.427,       729.2, 0.10,    4.32   , https://doi.org/10.1039/C5CP05218A
    IH2 ,   62,      200,  0.403,       834.6, 0.10,    3.67   , https://doi.org/10.1039/C5CP05218A
    IH2 ,   62,      240,  0.398,       917.7, 0.10,    3.77   , https://doi.org/10.1039/C5CP05218A
    IH2 ,   62,      100,  0.472,       552.6, 0.13,    3.00   , https://doi.org/10.1039/C5CP05218A
    IH2 ,   62,      150,  0.427,       729.2, 0.13,    2.12   , https://doi.org/10.1039/C5CP05218A
    IH2 ,   62,      200,  0.403,       834.6, 0.13,    1.62   , https://doi.org/10.1039/C5CP05218A
    IH2 ,   62,      240,  0.398,       917.7, 0.13,    1.62   , https://doi.org/10.1039/C5CP05218A
    IH2 ,  166,      240,  0.611,      1366.2, 0.10,   33.05   , https://doi.org/10.1039/C5CP05218A
    IH2 ,  166,      260,  0.594,      1384.5, 0.10,   30.82   , https://doi.org/10.1039/C5CP05218A
    IH2 ,  166,      300,  0.548,      1465.8, 0.10,   25.09   , https://doi.org/10.1039/C5CP05218A
    IH2 ,  166,      240,  0.611,      1366.2, 0.13,   23.55   , https://doi.org/10.1039/C5CP05218A
    IH2 ,  166,      260,  0.594,      1384.5, 0.13,   21.57   , https://doi.org/10.1039/C5CP05218A
    IH2 ,  166,      300,  0.548,      1465.8, 0.13,   16.53   , https://doi.org/10.1039/C5CP05218A
    IH4 ,  191,      120,  0.500,       792.9, 0.10,    9.92   , https://doi.org/10.1039/C5CP05218A
    IH4 ,  191,      160,  0.474,       898.5, 0.10,    8.80   , https://doi.org/10.1039/C5CP05218A
    IH4 ,  191,      200,  0.476,       960.4, 0.10,    9.57   , https://doi.org/10.1039/C5CP05218A
    IH4 ,  191,      250,  0.493,       981.0, 0.10,   11.26   , https://doi.org/10.1039/C5CP05218A
    IH4 ,  191,      120,  0.500,       792.9, 0.13,    6.04   , https://doi.org/10.1039/C5CP05218A
    IH4 ,  191,      160,  0.474,       898.5, 0.13,    5.01   , https://doi.org/10.1039/C5CP05218A
    IH4 ,  191,      200,  0.476,       960.4, 0.13,    5.48   , https://doi.org/10.1039/C5CP05218A
    IH4 ,  191,      250,  0.493,       981.0, 0.13,    6.70   , https://doi.org/10.1039/C5CP05218A
    IH4 ,  191,      300,  0.525,       849.4, 0.13,    7.92   , https://doi.org/10.1039/C5CP05218A
    PH1 ,  139,       80,  1.011,       546.3,     ,   41.13   , https://doi.org/10.1103/PhysRevB.93.020508
    PH1 ,  139,      120,  0.942,       539.3,     ,   33.14   , https://doi.org/10.1103/PhysRevB.93.020508
    PH1 ,  139,      200,  1.288,       680.4,     ,   61.79   , https://doi.org/10.1103/PhysRevB.93.020508
    PH1 ,  139,      250,  1.423,       816.9,     ,   82.85   , https://doi.org/10.1103/PhysRevB.93.020508
    PH2 ,  139,       80,  0.939,       752.7,     ,   47.17   , https://doi.org/10.1103/PhysRevB.93.020508
    PH2 ,  139,      120,  1.049,       667.6,     ,   47.95   , https://doi.org/10.1103/PhysRevB.93.020508
    PH2 ,  139,      150,  1.093,       704.4,     ,   56.34   , https://doi.org/10.1103/PhysRevB.93.020508
    PH2 ,  139,      180,  1.176,       719.7,     ,   61.01   , https://doi.org/10.1103/PhysRevB.93.020508
    PH2 ,  139,      200,  1.288,       709.3,     ,   67.25   , https://doi.org/10.1103/PhysRevB.93.020508
    PH2 ,  139,      220,  1.349,       764.1,     ,   78.17   , https://doi.org/10.1103/PhysRevB.93.020508
    PH2 ,  139,      260,  1.307,       813.8,     ,   86.74   , https://doi.org/10.1103/PhysRevB.93.020508
    PH3 ,   12,       80,  1.010,       815.8,     ,   44.83   , https://doi.org/10.1103/PhysRevB.93.020508
    PH3 ,   12,       90,  0.943,       835.2,     ,   40.16   , https://doi.org/10.1103/PhysRevB.93.020508
    PH3 ,   12,      110,  0.876,       849.3,     ,   36.26   , https://doi.org/10.1103/PhysRevB.93.020508
    PH3 ,   12,      140,  0.912,       901.0,     ,   42.30   , https://doi.org/10.1103/PhysRevB.93.020508
    PH3 ,   12,      180,  1.005,       882.3,     ,   50.68   , https://doi.org/10.1103/PhysRevB.93.020508
    PH3 ,   12,      220,  1.089,       734.1,     ,   55.75   , https://doi.org/10.1103/PhysRevB.93.020508
    PH3 ,   12,      260,  1.116,       965.7,     ,   72.12   , https://doi.org/10.1103/PhysRevB.93.020508
